,分词,出现次数
628,伟同,5
629,保存,5
630,图灵,5
631,总监,5
632,雷蒙,5
633,乔伊,5
634,帕特里克,5
635,流浪汉,5
636,富翁,5
637,刺杀,5
638,科尔,5
639,特里斯坦,5
640,科特,5
641,米夏,5
642,克布,5
643,清子,5
644,纳德,5
645,入狱,4
646,管理员,4
647,注意,4
648,越狱,4
649,救赎,4
650,勇敢,4
651,升级,4
652,上学,4
653,珍妮,4
654,职业,4
655,加里,4
656,夜晚,4
657,政权,4
658,波兰,4
659,商人,4
660,辛德勒,4
661,出众,4
662,岁月,4
663,柯布,4
664,同事,4
665,约瑟夫,4
666,纳什,4
667,迈尔斯,4
668,·哈迪,4
669,本能,4
670,缘分,4
671,疼爱,4
672,反对,4
673,异常,4
674,萨拉,4
675,无比,4
676,心情,4
677,创造,4
678,票房,4
679,康纳,4
680,奇怪,4
681,星球,4
682,抚养,4
683,眼前,4
684,残忍,4
685,兰乔,4
686,Khan,4
687,摄影,4
688,重任,4
689,长片,4
690,乡村,4
691,克莱门特,4
692,男子,4
693,残暴,4
694,心灵,4
695,月光,4
696,孙悟空,4
697,关键,4
698,仁浩,4
699,笼罩,4
700,厕所,4
701,哭泣,4
702,警员,4
703,黑帮,4
704,优秀,4
705,卧底,4
706,情报,4
707,柯里昂,4
708,统领,4
709,小精灵,4
710,容易,4
711,投资,4
712,帮忙,4
713,心愿,4
714,同班,4
715,作战,4
716,鸡蛋,4
717,伤心,4
718,瘫痪,4
719,背负,4
720,挑战,4
721,治疗,4
722,惨遭,4
723,增长,4
724,持续,4
725,恐慌,4
726,企图,4
727,正常,4
728,武器,4
729,照片,4
730,祖父,4
731,教育,4
732,艺术,4
733,设计,4
734,姑娘,4
735,探险,4
736,自称,4
737,偶像,4
738,生日,4
739,伟大,4
740,谜团,4
741,刺激,4
742,灾难,4
743,同伴,4
744,名字,4
745,受害者,4
746,靠近,4
747,清晰,4
748,耐心,4
749,较量,4
750,世界大战,4
751,农民,4
752,误会,4
753,赚钱,4
754,英语,4
755,瑞士,4
756,患者,4
757,见证,4
758,享受,4
759,街道,4
760,父子,4
761,记者,4
762,摄影师,4
763,形象,4
764,观众,4
765,艾莲娜,4
766,釜山,4
767,读书,4
768,打架,4
769,忍受,4
770,摆脱,4
771,研究,4
772,命令,4
773,头目,4
774,詹姆斯,4
775,辛巴,4
776,呈现,4
777,皮平,4
778,梅利,4
779,拉贡,4
780,精灵,4
781,索伦,4
782,末日,4
783,攻击,4
784,基汀,4
785,威廉姆斯,4
786,传统,4
787,折磨,4
788,侥幸,4
789,儿女,4
790,黑客,4
791,系统,4
792,思想,4
793,欢迎,4
794,建造,4
795,彻底,4
796,老伴,4
797,数学,4
798,经济,4
