电影名,年份,评分,评价人数,最热评论
上帝之城,2002,9.0,268018,被上帝抛弃了的上帝之城。
三块广告牌,2017,8.7,720803,怼天怼地，你走后，她与世界为敌。
疯狂原始人,2013,8.7,746047,老少皆宜，这就是好莱坞动画的魅力。
风之谷,1984,8.9,319023,动画片的圣经。
你的名字。,2016,8.5,1206493,穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。
谍影重重3,2007,8.8,369290,像吃了苏打饼一样干脆的电影。
英雄本色,1986,8.6,457173,英雄泪短，兄弟情长。 
头脑特工队,2015,8.8,518697,愿我们都不用长大，每一座城堡都能永远存在。
达拉斯买家俱乐部,2013,8.8,392364,Jared Leto的腿比女人还美！
纵横四海,1991,8.8,360626,香港浪漫主义警匪动作片的巅峰之作。
心迷宫,2014,8.7,437858,荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。
岁月神偷,2010,8.7,522693,岁月流逝，来日可追。
记忆碎片,2000,8.7,533688,一个针管引发的血案。
惊魂记,1960,9.0,231025,故事的反转与反转，分裂电影的始祖。
忠犬八公物语,1987,9.2,167061,养狗三日，便会对你终其一生。
海街日记,2015,8.8,375338,是枝裕和的家庭习作。
荒蛮故事,2014,8.8,380629,始于荒诞，止于更荒诞。
九品芝麻官,1994,8.6,548229,[]
爆裂鼓手,2014,8.7,496280,这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。
贫民窟的百万富翁,2008,8.6,661097,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁
真爱至上,2003,8.6,631590,爱，是个动词。
东邪西毒,1994,8.6,512508,电影诗。
绿里奇迹,1999,8.9,270471,天使暂时离开。
小偷家族,2018,8.7,722522,我们组成了家。
爱在午夜降临前,2013,8.8,320639,所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。
无敌破坏王,2012,8.7,463292,迪士尼和皮克斯拿错剧本的产物。
冰川时代,2002,8.6,540268,松鼠才是角儿。
黑天鹅,2010,8.6,712361,黑暗之美。
你看起来好像很好吃,2010,8.9,293084,感情不分食草或者食肉。
疯狂的石头,2006,8.5,704410,中国版《两杆大烟枪》。
萤火虫之墓,1988,8.7,367739,幸福是生生不息，却难以触及的远。 
